"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"26000 - Ministério da Educação";"26437 - Instituto Federal de Roraima";"43.732.676,76";"25.970,39";"25.970,39";"12.798.827,91";
"01/2025";"26000 - Ministério da Educação";"26438 - Instituto Federal de Santa Catarina";"258.363.874,27";"246.663,34";"77.999,80";"75.501.841,76";
"01/2025";"26000 - Ministério da Educação";"26423 - Instituto Federal de Sergipe";"980.446,72";"31.608,72";"29.816,93";"31.885.175,18";
"01/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de São Paulo";"1.115.969.899,43";"340.572,74";"220.598,71";"114.197.564,39";
"01/2025";"26000 - Ministério da Educação";"26425 - Instituto Federal do Acre";"356.959,04";"20.320,00";"7.053,38";"12.034.337,43";
"01/2025";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"160.300,20";"8.915,80";"6.518,50";"9.844.706,42";
"01/2025";"26000 - Ministério da Educação";"26403 - Instituto Federal do Amazonas";"425.939.167,03";"285.084,14";"66.873,41";"38.904.649,69";
"01/2025";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"65.744.284,15";"457.232,05";"314.574,83";"93.438.958,87";
"01/2025";"26000 - Ministério da Educação";"26406 - Instituto Federal do Espírito Santo";"27.053.029,20";"15.560.284,29";"14.958.523,49";"70.065.765,82";
"01/2025";"26000 - Ministério da Educação";"26408 - Instituto Federal do Maranhão";"742.434.996,43";"817.032,84";"314.822,62";"76.832.683,20";
"01/2025";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"5.436.566,06";"3.319.065,08";"1.913.650,91";"49.221.800,70";
"01/2025";"26000 - Ministério da Educação";"26415 - Instituto Federal do Mato Grosso do Sul";"244.071.536,96";"142.417,80";"126.333,39";"20.828.636,19";
"01/2025";"26000 - Ministério da Educação";"26410 - Instituto Federal do Norte de Minas Gerais";"310.408.389,85";"149.899,51";"67.658,41";"30.868.805,00";
"01/2025";"26000 - Ministério da Educação";"26432 - Instituto Federal do Paraná";"2.836.482,61";"190.129,64";"107.990,81";"49.787.868,72";
"01/2025";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"584.958.707,25";"274.545,54";"68.696,52";"49.268.560,59";
"01/2025";"26000 - Ministério da Educação";"26431 - Instituto Federal do Piauí";"577.335.426,47";"1.593.872,87";"1.257.195,58";"58.201.812,09";
"01/2025";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"456.523.022,40";"0,00";"0,00";"49.970.438,69";
"01/2025";"26000 - Ministério da Educação";"26435 - Instituto Federal do Rio Grande do Norte";"727.724.087,51";"122.116,37";"104.254,83";"81.532.438,67";
"01/2025";"26000 - Ministério da Educação";"26419 - Instituto Federal do Rio Grande do Sul";"543.831.584,78";"507.780,06";"436.988,52";"51.938.121,21";
"01/2025";"26000 - Ministério da Educação";"26430 - Instituto Federal do Sertão de Pernambuco";"1.081.430,11";"95.805,74";"28.350,36";"22.509.589,31";
"01/2025";"26000 - Ministério da Educação";"26411 - Instituto Federal do Sudeste de Minas Gerais";"125.311.922,10";"62.251,21";"51.964,28";"34.996.581,30";
"01/2025";"26000 - Ministério da Educação";"26412 - Instituto Federal do Sul de Minas Gerais";"305.732.139,28";"401.234,85";"249.610,31";"28.746.057,99";
"01/2025";"26000 - Ministério da Educação";"26424 - Instituto Federal do Tocantins";"102.734.661,02";"679.493,80";"309.085,39";"29.458.104,21";
"01/2025";"26000 - Ministério da Educação";"26413 - Instituto Federal do Triângulo Mineiro";"289.781.016,24";"44.641,59";"41.082,09";"27.548.836,97";
"01/2025";"26000 - Ministério da Educação";"26420 - Instituto Federal Farroupilha";"69.327.591,03";"153.128,11";"24.351,13";"31.760.041,13";
"01/2025";"26000 - Ministério da Educação";"26434 - Instituto Federal Fluminense";"473.886.554,57";"199.537,67";"2.071,21";"44.102.656,43";
"01/2025";"26000 - Ministério da Educação";"26407 - Instituto Federal Goiano";"383.553.763,55";"878.291,32";"711.287,25";"43.918.606,91";
"01/2025";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"3.898.335,17";"391.255,91";"125.986,15";"54.355.255,20";
"01/2025";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30204 - Instituto Nacional da Propriedade Industrial";"189.712.429,70";"524.396,11";"524.396,11";"31.786.248,53";
"01/2025";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"22201 - Instituto Nacional de Colonização e Reforma Agrária";"1.306.236.352,83";"2.166.835,70";"1.383.781,67";"101.612.374,54";
"01/2025";"26000 - Ministério da Educação";"26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";"13.267.550,37";"150.761,73";"149.291,81";"40.223.910,98";
